Nb de candidats ayant fait au moins un vœu confirmé PP 2025;Nb de candidats ayant fait au moins un vœu confirmé PP 2024;Nb de candidats ayant fait au moins un vœu confirmé PP 2023;Nb de cddt ayant au moins une proposition Parcoursup 2025;Nb de cddt ayant au moins une proposition Parcoursup 2024;Nb de cddt ayant au moins une proposition Parcoursup 2023;Etablissement;Type de formation de la scolarité;Niveau d'études
0;0;1;1;;1;IPC-Facultés Libres de Philosophie et de Psycholog;Licence;2nd année d'études supérieures
6;7;4;5;7;4;IPC-Facultés Libres de Philosophie et de Psycholog;Licence;3ème année d'études supérieures
;1;0;;1;;IPC-Facultés Libres de Philosophie et de Psycholog;Licence;4ème année d'études supérieures ou plus
;1;;;1;;IPC-Facultés Libres de Philosophie et de Psycholog;Master;4ème année d'études supérieures ou plus
4;8;10;4;9;9;IPC-Facultés Libres de Philosophie et de Psycholog;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
;0;;;;;IRSS Sport - Site de Paris;Autre formation du supérieur;1ère année d'études supérieures
1;1;;;1;;IRSS Sport - Site de Paris;Formations aux métiers du sport;1ère année d'études supérieures
3;;;;;;IRSS Sport - Site de Paris;Formations professionnelles;1ère année d'études supérieures
0;;;1;;;IRSS Sport - Site de Paris;Formations professionnelles;3ème année d'études supérieures
;;0;;;;IRTS Paris Ile-de-France;Etudes de santé;1ère année d'études supérieures
15;6;6;11;6;7;IRTS Paris Ile-de-France;Formations diplômantes du travail social;1ère année d'études supérieures
2;3;2;2;2;2;IRTS Paris Ile-de-France;Formations diplômantes du travail social;2nd année d'études supérieures
4;3;1;4;3;2;IRTS Paris Ile-de-France;Formations diplômantes du travail social;3ème année d'études supérieures
;1;;;1;;IRTS Paris Ile-de-France;Terminale;Terminale
2;;;1;;;ISEFAC;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;;;;ISEP Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
30;17;43;24;17;35;ISEP Paris;Formations des écoles d'ingénieurs;1ère année d'études supérieures
2;2;1;2;1;1;ISEP Paris;Formations des écoles d'ingénieurs;2nd année d'études supérieures
2;1;1;2;2;1;ISEP Paris;Formations des écoles d'ingénieurs;3ème année d'études supérieures
2;0;1;1;1;2;ISEP Paris;Formations des écoles d'ingénieurs;4ème année d'études supérieures ou plus
0;;;;;;ISEP Paris;Master;1ère année d'études supérieures
;0;0;;;1;ISEP Paris;Master;4ème année d'études supérieures ou plus
19;13;4;10;15;6;ISG Paris;Formations des écoles de commerce et de management;1ère année d'études supérieures
0;1;0;;1;;ISG Paris;Formations des écoles de commerce et de management;2nd année d'études supérieures
1;0;1;1;;1;ISG Paris;Formations des écoles de commerce et de management;3ème année d'études supérieures
2;0;1;3;1;1;ISG Paris;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
6;8;1;5;8;1;ISIT - Institut de Management et de Communication Interculturels;Formations des écoles de commerce et de management;1ère année d'études supérieures
;0;;;;;ISIT - Institut de Management et de Communication Interculturels;Formations des écoles de commerce et de management;2nd année d'études supérieures
;0;1;;1;1;ISIT - Institut de Management et de Communication Interculturels;Formations des écoles de commerce et de management;3ème année d'études supérieures
0;1;1;;1;1;ISIT - Institut de Management et de Communication Interculturels;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
1;;;1;;;ISO DIGITAL;Autre formation du supérieur;3ème année d'études supérieures
0;;;;;;ISO DIGITAL;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;ISO DIGITAL;Licence professionnelle;3ème année d'études supérieures
48;17;13;37;15;13;ISTEC - Ecole Supérieure de Commerce et de Marketing;Formations des écoles de commerce et de management;1ère année d'études supérieures
0;3;0;;2;;ISTEC - Ecole Supérieure de Commerce et de Marketing;Formations des écoles de commerce et de management;2nd année d'études supérieures
1;1;0;1;1;;ISTEC - Ecole Supérieure de Commerce et de Marketing;Formations des écoles de commerce et de management;3ème année d'études supérieures
1;0;0;;;;ISTEC - Ecole Supérieure de Commerce et de Marketing;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
;1;;;1;;ITIC Paris;Autre formation du supérieur;4ème année d'études supérieures ou plus
18;7;6;11;5;6;ITIC Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;0;2;;;ITIC Paris;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;;ITIC Paris;Licence professionnelle;3ème année d'études supérieures
;;0;;;;ITIC Paris;Terminale;Année préparatoire aux études supérieures
169;146;161;141;136;149;IUT de Paris - Rives de Seine - Université Paris Cité;BUT;1ère année d'études supérieures
23;13;10;18;15;7;IUT de Paris - Rives de Seine - Université Paris Cité;BUT;2nd année d'études supérieures
14;8;1;16;7;1;IUT de Paris - Rives de Seine - Université Paris Cité;BUT;3ème année d'études supérieures
1;1;;1;;;IUT de Paris - Rives de Seine - Université Paris Cité;Diplômes d'université ou d'établissement;1ère année d'études supérieures
;;1;;;1;IUT de Paris - Rives de Seine - Université Paris Cité;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;;;1;;;IUT de Paris - Rives de Seine - Université Paris Cité;Licence;1ère année d'études supérieures
;;1;;;;IUT de Paris - Rives de Seine - Université Paris Cité;Licence professionnelle;1ère année d'études supérieures
0;2;2;;1;3;IUT de Paris - Rives de Seine - Université Paris Cité;Licence professionnelle;3ème année d'études supérieures
;0;;;;;IUT de Paris - Rives de Seine - Université Paris Cité;Semestre passerelle/rebond;1ère année d'études supérieures
;;0;;;;IUT de Paris - Rives de Seine - Université Paris Cité;Terminale;Terminale
9;3;6;9;2;6;Kedge Business School - Campus de Paris;Formations des écoles de commerce et de management;1ère année d'études supérieures
1;0;;1;;;Kedge Business School - Campus de Paris;Formations des écoles de commerce et de management;2nd année d'études supérieures
2;0;;3;1;;Kedge Business School - Campus de Paris;Formations des écoles de commerce et de management;4ème année d'études supérieures ou plus
0;;;;;;LA COMPAGNIE DE FORMATION PIGIER Performance;Année préparatoire au DAEU;Année préparatoire aux études supérieures
0;;;;;;LA COMPAGNIE DE FORMATION PIGIER Performance;Autre formation du supérieur;3ème année d'études supérieures
1;;0;1;;1;LA COMPAGNIE DE FORMATION PIGIER Performance;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;;;;;LA COMPAGNIE DE FORMATION PIGIER Performance;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;1;LA COMPAGNIE DE FORMATION PIGIER Performance;Terminale;Terminale
;;0;;;;La Fabrique;Autre formation du supérieur;1ère année d'études supérieures
;1;;;1;;La Fabrique;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;;;;La Fabrique;BTS - BTSA - BTSM;2nd année d'études supérieures
;;1;;;;La Fabrique;Formations professionnelles;1ère année d'études supérieures
;1;;;1;;Luxury Hotelschool Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;;;;Luxury Hotelschool Paris;Formations aux métiers de l'hôtellerie restauration;1ère année d'études supérieures
1;;;1;;;Luxury Hotelschool Paris;Formations aux métiers de l'hôtellerie restauration;2nd année d'études supérieures
;0;;;;;Luxury Hotelschool Paris;Formations professionnelles;1ère année d'études supérieures
2;0;;;;;Lycée Albert de Mun;Autre formation du supérieur;1ère année d'études supérieures
;;0;;;;Lycée Albert de Mun;Autre formation du supérieur;2nd année d'études supérieures
1;;1;;;1;Lycée Albert de Mun;Autre formation du supérieur;3ème année d'études supérieures
13;13;10;9;9;8;Lycée Albert de Mun;BTS - BTSA - BTSM;1ère année d'études supérieures
4;10;2;3;6;2;Lycée Albert de Mun;BTS - BTSA - BTSM;2nd année d'études supérieures
1;0;;1;;;Lycée Albert de Mun;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
11;17;4;10;15;3;Lycée Albert de Mun;DCG;1ère année d'études supérieures
0;;;;;;Lycée Albert de Mun;DCG;2nd année d'études supérieures
;0;;;;;Lycée Albert de Mun;DCG;3ème année d'études supérieures
0;;;;;;Lycée Albert de Mun;Formations des écoles de commerce et de management;2nd année d'études supérieures
;0;0;;;;Lycée Albert de Mun;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
0;;;;;;Lycée Albert de Mun;Licence sélective;3ème année d'études supérieures
13;21;18;12;20;17;Lycée Albert de Mun;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
195;231;174;172;211;155;Lycée Albert de Mun;Terminale;Terminale
1;;;;;;Lycée Arago;Autre formation du supérieur;1ère année d'études supérieures
6;7;12;2;5;7;Lycée Arago;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;1;;;Lycée Arago;BTS - BTSA - BTSM;2nd année d'études supérieures
223;256;242;206;236;237;Lycée Arago;Terminale;Terminale
2;;;2;;;Lycée Auguste Renoir;Autre formation du supérieur;1ère année d'études supérieures
1;;2;1;;2;Lycée Auguste Renoir;BTS - BTSA - BTSM;1ère année d'études supérieures
7;3;6;4;3;4;Lycée Auguste Renoir;BTS - BTSA - BTSM;2nd année d'études supérieures
2;4;6;2;3;3;Lycée Auguste Renoir;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
;1;1;;;;Lycée Auguste Renoir;Formations d'art, de design et du spectacle vivant;2nd année d'études supérieures
1;;2;;;3;Lycée Auguste Renoir;Formations d'art, de design et du spectacle vivant;3ème année d'études supérieures
58;49;58;53;45;50;Lycée Auguste Renoir;Terminale;Terminale
;;0;;;;Lycée autogéré;BTS - BTSA - BTSM;1ère année d'études supérieures
37;56;41;32;48;41;Lycée autogéré;Terminale;Terminale
;0;;;;;Lycée Batiment-Saint-Lambert;Autre formation du supérieur;3ème année d'études supérieures
10;15;8;8;14;6;Lycée Batiment-Saint-Lambert;BTS - BTSA - BTSM;1ère année d'études supérieures
10;4;3;6;2;2;Lycée Batiment-Saint-Lambert;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;Lycée Batiment-Saint-Lambert;CPGE;3ème année d'études supérieures
0;;;;;;Lycée Batiment-Saint-Lambert;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
4;6;;2;4;;Lycée Batiment-Saint-Lambert;Terminale;Terminale
84;59;58;74;57;54;Lycée Beth Hanna;Terminale;Terminale
;;2;;;2;Lycée Blomet;Autre formation du supérieur;1ère année d'études supérieures
;;1;;;;Lycée Blomet;Autre formation du supérieur;2nd année d'études supérieures
50;34;48;45;27;38;Lycée Blomet;CPGE;1ère année d'études supérieures
0;2;1;;2;1;Lycée Blomet;CPGE;2nd année d'études supérieures
4;4;2;4;3;1;Lycée Blomet;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
;1;;;1;;Lycée Blomet;Licence sélective;1ère année d'études supérieures
4;1;0;4;;;Lycée Blomet;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
156;160;160;156;155;157;Lycée Blomet;Terminale;Terminale
161;161;170;160;158;169;Lycée Bossuet-Notre-Dame;Terminale;Terminale
23;27;17;23;19;14;Lycée Buffon;CPGE;1ère année d'études supérieures
1;1;2;2;1;3;Lycée Buffon;CPGE;2nd année d'études supérieures
1;;;1;;;Lycée Buffon;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
;1;;;1;;Lycée Buffon;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
319;290;305;302;282;296;Lycée Buffon;Terminale;Terminale
158;125;152;145;117;139;Lycée Camille See;Terminale;Terminale
;2;1;;2;1;Lycée Carcado Saisseval;Autre formation du supérieur;1ère année d'études supérieures
;0;0;;;;Lycée Carcado Saisseval;Autre formation du supérieur;2nd année d'études supérieures
;;0;;;;Lycée Carcado Saisseval;Autre formation du supérieur;3ème année d'études supérieures
33;33;23;18;29;18;Lycée Carcado Saisseval;BTS - BTSA - BTSM;1ère année d'études supérieures
10;10;9;9;5;8;Lycée Carcado Saisseval;BTS - BTSA - BTSM;2nd année d'études supérieures
;;1;;;1;Lycée Carcado Saisseval;Formations des écoles de commerce et de management;1ère année d'études supérieures
;;1;;;1;Lycée Carcado Saisseval;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;;;1;;;Lycée Carcado Saisseval;Prépa formation en Sciences Politiques (hors CPGE);Année préparatoire aux études supérieures
;;1;;;1;Lycée Carcado Saisseval;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
166;173;161;152;161;152;Lycée Carcado Saisseval;Terminale;Terminale
40;29;39;34;18;33;Lycée Carnot;CPGE;1ère année d'études supérieures
4;5;1;4;7;2;Lycée Carnot;CPGE;2nd année d'études supérieures
1;;1;1;;1;Lycée Carnot;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
;;1;;;1;Lycée Carnot;Licence sélective;1ère année d'études supérieures
1;1;;1;1;;Lycée Carnot;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
;1;;;1;;Lycée Carnot;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
259;294;269;255;290;265;Lycée Carnot;Terminale;Terminale
;;0;;;;Lycée Catherine Laboure;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;;;;;Lycée Catherine Laboure;BTS - BTSA - BTSM;2nd année d'études supérieures
109;109;90;99;105;80;Lycée Catherine Laboure;Terminale;Terminale
;2;;;2;;Lycée Chaptal;Autre formation du supérieur;1ère année d'études supérieures
141;140;126;123;120;114;Lycée Chaptal;CPGE;1ère année d'études supérieures
15;9;25;14;9;23;Lycée Chaptal;CPGE;2nd année d'études supérieures
1;1;1;1;1;1;Lycée Chaptal;CPGE;3ème année d'études supérieures
6;4;1;6;4;;Lycée Chaptal;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
;1;;;1;;Lycée Chaptal;Licence sélective;1ère année d'études supérieures
6;4;1;5;4;1;Lycée Chaptal;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
;1;;;1;;Lycée Chaptal;Sciences Po - Instituts d'études politiques;1ère année d'études supérieures
191;185;198;183;179;192;Lycée Chaptal;Terminale;Terminale
32;22;31;33;20;30;Lycée Charlemagne;CPGE;1ère année d'études supérieures
2;0;1;1;;1;Lycée Charlemagne;CPGE;2nd année d'études supérieures
1;0;;1;;;Lycée Charlemagne;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;;;1;;;Lycée Charlemagne;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
233;242;246;231;238;246;Lycée Charlemagne;Terminale;Terminale
13;11;8;8;10;8;Lycée Charles De Foucauld;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;3;;2;3;Lycée Charles De Foucauld;BTS - BTSA - BTSM;2nd année d'études supérieures
209;198;210;206;196;209;Lycée Charles De Foucauld;Terminale;Terminale
1;;0;1;;;Lycée Charles Peguy;Autre formation du supérieur;1ère année d'études supérieures
4;5;3;1;2;3;Lycée Charles Peguy;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;;;1;;Lycée Charles Peguy;BTS - BTSA - BTSM;2nd année d'études supérieures
172;177;175;172;174;173;Lycée Charles Peguy;Terminale;Terminale
31;29;19;28;21;19;Lycée Claude Bernard;CPGE;1ère année d'études supérieures
0;3;2;;5;1;Lycée Claude Bernard;CPGE;2nd année d'études supérieures
1;0;;;;;Lycée Claude Bernard;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
0;1;;;2;;Lycée Claude Bernard;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
207;199;201;189;180;170;Lycée Claude Bernard;Terminale;Terminale
61;31;33;61;28;30;Lycée Claude Monet;CPGE;1ère année d'études supérieures
4;2;4;5;2;3;Lycée Claude Monet;CPGE;2nd année d'études supérieures
2;1;;2;1;;Lycée Claude Monet;CPGE;3ème année d'études supérieures
1;1;1;1;1;2;Lycée Claude Monet;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;1;;2;1;;Lycée Claude Monet;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
1;1;;1;1;;Lycée Claude Monet;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
299;323;334;295;317;329;Lycée Claude Monet;Terminale;Terminale
;0;;;;;Lycée Colbert;CAAP;Année préparatoire aux études supérieures
21;21;20;19;20;18;Lycée Colbert;CLPES;Année préparatoire aux études supérieures
166;184;206;131;171;187;Lycée Colbert;Terminale;Terminale
74;62;44;73;57;43;Lycée Condorcet;CPGE;1ère année d'études supérieures
2;3;10;2;3;10;Lycée Condorcet;CPGE;2nd année d'études supérieures
1;;0;1;;;Lycée Condorcet;CPGE;3ème année d'études supérieures
0;0;1;;;1;Lycée Condorcet;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
;;0;;;;Lycée Condorcet;Licence sélective;1ère année d'études supérieures
1;;;1;;;Lycée Condorcet;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
173;176;169;171;174;167;Lycée Condorcet;Terminale;Terminale
1;1;;;1;;Lycée D'Alembert-Cuir;Autre formation du supérieur;1ère année d'études supérieures
1;1;1;1;1;1;Lycée D'Alembert-Cuir;Autre formation du supérieur;2nd année d'études supérieures
10;6;7;9;4;6;Lycée D'Alembert-Cuir;BTS - BTSA - BTSM;1ère année d'études supérieures
4;10;4;1;5;4;Lycée D'Alembert-Cuir;BTS - BTSA - BTSM;2nd année d'études supérieures
3;1;1;3;1;1;Lycée D'Alembert-Cuir;BTS - BTSA - BTSM;3ème année d'études supérieures
0;;;;;;Lycée D'Alembert-Cuir;Etudes de santé;1ère année d'études supérieures
1;;;;;;Lycée D'Alembert-Cuir;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
0;0;;;;;Lycée D'Alembert-Cuir;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
125;127;120;96;103;89;Lycée D'Alembert-Cuir;Terminale;Terminale
;1;;;1;;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Autre formation du supérieur;1ère année d'études supérieures
6;4;5;6;4;4;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;BTS - BTSA - BTSM;1ère année d'études supérieures
1;4;2;1;4;1;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;BTS - BTSA - BTSM;2nd année d'études supérieures
5;5;;3;3;;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
24;22;17;22;21;16;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
0;;;;;;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
55;54;55;51;48;51;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale
;1;;;1;;Lycée des Métiers Dorian;Autre formation du supérieur;1ère année d'études supérieures
;;0;;;;Lycée des Métiers Dorian;Autre formation du supérieur;2nd année d'études supérieures
25;17;22;17;9;12;Lycée des Métiers Dorian;BTS - BTSA - BTSM;1ère année d'études supérieures
6;10;1;5;7;;Lycée des Métiers Dorian;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;1;;;1;Lycée des Métiers Dorian;BTS - BTSA - BTSM;3ème année d'études supérieures
0;;;;;;Lycée des Métiers Dorian;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
38;36;38;29;26;35;Lycée des Métiers Dorian;CPGE;1ère année d'études supérieures
0;;0;;;;Lycée des Métiers Dorian;CPGE;2nd année d'études supérieures
1;2;;1;2;;Lycée des Métiers Dorian;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
209;230;162;170;197;150;Lycée des Métiers Dorian;Terminale;Terminale
;1;1;;1;1;Lycée Des métiers Jean DROUANT;Autre formation du supérieur;1ère année d'études supérieures
;4;0;;4;;Lycée Des métiers Jean DROUANT;BTS - BTSA - BTSM;1ère année d'études supérieures
0;2;1;;2;1;Lycée Des métiers Jean DROUANT;BTS - BTSA - BTSM;2nd année d'études supérieures
2;3;;1;2;;Lycée Des métiers Jean DROUANT;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
41;39;38;42;39;30;Lycée Des métiers Jean DROUANT;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
1;;;1;;;Lycée Des métiers Jean DROUANT;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
42;36;56;37;38;55;Lycée Des métiers Jean DROUANT;Terminale;Terminale
0;1;1;1;;1;Lycée Diderot;Autre formation du supérieur;3ème année d'études supérieures
30;13;30;13;14;18;Lycée Diderot;BTS - BTSA - BTSM;1ère année d'études supérieures
5;3;0;4;3;1;Lycée Diderot;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;;Lycée Diderot;CPGE;3ème année d'études supérieures
1;;1;;;1;Lycée Diderot;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
0;;;1;;;Lycée Diderot;Formations des écoles d'ingénieurs;3ème année d'études supérieures
0;0;;1;;;Lycée Diderot;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
182;213;236;165;202;206;Lycée Diderot;Terminale;Terminale
104;100;95;101;95;94;Lycée Edgar Poe;Terminale;Terminale
;2;1;;2;;Lycée Edgar Quinet;Autre formation du supérieur;1ère année d'études supérieures
15;12;11;13;3;8;Lycée Edgar Quinet;BTS - BTSA - BTSM;1ère année d'études supérieures
2;1;1;1;1;1;Lycée Edgar Quinet;BTS - BTSA - BTSM;2nd année d'études supérieures
0;0;;;;;Lycée Edgar Quinet;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
191;180;179;157;142;143;Lycée Edgar Quinet;Terminale;Terminale
;;1;;;;Lycée Elisa Lemonnier;Autre formation du supérieur;2nd année d'études supérieures
21;13;13;13;10;10;Lycée Elisa Lemonnier;BTS - BTSA - BTSM;1ère année d'études supérieures
6;14;4;5;12;3;Lycée Elisa Lemonnier;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;1;;;;Lycée Elisa Lemonnier;BTS - BTSA - BTSM;3ème année d'études supérieures
0;;;;;;Lycée Elisa Lemonnier;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
8;;;9;;;Lycée Elisa Lemonnier;CPGE;1ère année d'études supérieures
1;;;1;;;Lycée Elisa Lemonnier;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
227;213;208;173;170;165;Lycée Elisa Lemonnier;Terminale;Terminale
32;22;31;22;17;29;Lycée Emile Dubois;BTS - BTSA - BTSM;1ère année d'études supérieures
4;6;3;3;5;2;Lycée Emile Dubois;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;Lycée Emile Dubois;BTS - BTSA - BTSM;3ème année d'études supérieures
136;160;146;108;139;128;Lycée Emile Dubois;Terminale;Terminale
2;2;0;1;;1;Lycée EPMC La Ruche;BTS - BTSA - BTSM;1ère année d'études supérieures
;0;1;;;;Lycée EPMC La Ruche;BTS - BTSA - BTSM;2nd année d'études supérieures
;;1;;;1;Lycée EPMC La Ruche;Formations d'art, de design et du spectacle vivant;3ème année d'études supérieures
;;0;;;;Lycée ESTBA;Autre formation du supérieur;2nd année d'études supérieures
0;;;;;;Lycée ESTBA;Autre formation du supérieur;3ème année d'études supérieures
18;20;9;11;14;8;Lycée ESTBA;BTS - BTSA - BTSM;1ère année d'études supérieures
6;10;7;3;8;7;Lycée ESTBA;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;Lycée ESTBA;BTS - BTSA - BTSM;3ème année d'études supérieures
5;4;6;4;4;5;Lycée ESTBA;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
;1;;;1;;Lycée ESTBA;Etudes de santé;1ère année d'études supérieures
;;1;;;1;Lycée ESTBA;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
;1;;;1;;Lycée Estienne Esaig;Autre formation du supérieur;3ème année d'études supérieures
6;2;6;5;1;5;Lycée Estienne Esaig;BTS - BTSA - BTSM;1ère année d'études supérieures
6;7;5;4;6;3;Lycée Estienne Esaig;BTS - BTSA - BTSM;2nd année d'études supérieures
5;4;0;4;1;;Lycée Estienne Esaig;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
1;1;1;1;1;1;Lycée Estienne Esaig;Formations d'art, de design et du spectacle vivant;2nd année d'études supérieures
5;2;5;3;3;4;Lycée Estienne Esaig;Formations d'art, de design et du spectacle vivant;3ème année d'études supérieures
;;0;;;;Lycée Estienne Esaig;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
18;21;16;17;18;14;Lycée étranger privé Léonard de Vinci;Terminale;Terminale
;0;;;;;Lycée Fénelon;BTS - BTSA - BTSM;1ère année d'études supérieures
;0;;;;;Lycée Fénelon;BTS - BTSA - BTSM;2nd année d'études supérieures
88;66;83;82;65;81;Lycée Fénelon;CPGE;1ère année d'études supérieures
7;9;15;6;9;14;Lycée Fénelon;CPGE;2nd année d'études supérieures
0;4;1;;5;2;Lycée Fénelon;CPGE;3ème année d'études supérieures
4;1;2;4;1;2;Lycée Fénelon;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;1;0;1;1;;Lycée Fénelon;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
160;159;167;157;158;166;Lycée Fénelon;Terminale;Terminale
;;1;;;1;Lycée Fénelon Sainte-Marie;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
13;8;19;12;9;16;Lycée Fénelon Sainte-Marie;CPGE;1ère année d'études supérieures
0;0;2;;;2;Lycée Fénelon Sainte-Marie;CPGE;2nd année d'études supérieures
;;1;;;;Lycée Fénelon Sainte-Marie;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
0;;;;;;Lycée Fénelon Sainte-Marie;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
1;0;;1;;;Lycée Fénelon Sainte-Marie;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
252;258;260;248;252;255;Lycée Fénelon Sainte-Marie;Terminale;Terminale
;;1;;;;Lycée Fenelon Sup La Plaine Monceau;Autre formation du supérieur;1ère année d'études supérieures
11;6;6;7;5;5;Lycée Fenelon Sup La Plaine Monceau;BTS - BTSA - BTSM;1ère année d'études supérieures
7;1;0;3;;;Lycée Fenelon Sup La Plaine Monceau;BTS - BTSA - BTSM;2nd année d'études supérieures
1;1;;1;1;;Lycée Fenelon Sup La Plaine Monceau;CPGE;1ère année d'études supérieures
;;1;;;;Lycée Fenelon Sup La Plaine Monceau;CPGE;2nd année d'études supérieures
3;3;3;3;3;3;Lycée France Quéré - Votre Ecole chez vous;Terminale;Terminale
;;0;;;;Lycée François Rabelais;Autre formation du supérieur;1ère année d'études supérieures
;0;0;;;;Lycée François Rabelais;Autre formation du supérieur;2nd année d'études supérieures
;17;24;;14;20;Lycée François Rabelais;BTS - BTSA - BTSM;1ère année d'études supérieures
;18;15;;12;15;Lycée François Rabelais;BTS - BTSA - BTSM;2nd année d'études supérieures
101;109;121;84;100;103;Lycée François Rabelais;Terminale;Terminale
0;;0;1;;;Lycée Francois Villon;Autre formation du supérieur;2nd année d'études supérieures
