Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
0;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du secondaire;Autres;F;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du secondaire;Autres;M;Créteil
3;3;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
1;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Terminale;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Terminale;Lycéens de Terminale;F;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Terminale;Lycéens de Terminale;M;Créteil
1;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Autre formation du supérieur;Non scolarisés;M;Créteil
1;;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
2;1;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
3;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;1;ANTENNE DE CFA CAMAS ORLY;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ANTENNE DE CFA CAMAS ORLY;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;Terminale;Lycéens de Terminale;F;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;Terminale;Lycéens de Terminale;M;Créteil
0;1;Antenne du Centre de formation d'apprentis Fraternité Saint-Jean;Terminale;Lycéens de Terminale;M;Versailles
2;1;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Première;Autres;M;Versailles
1;1;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;F;Versailles
1;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;M;Versailles
0;;ANTENNE DU CFA IGS;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
1;;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;ANTENNE DU CFA IGS;DCG;Etudiants (réorientation, mise à niveau);M;Paris
1;1;ANTENNE DU CFA IGS;Formations professionnelles;Non scolarisés;F;Paris
0;;ANTENNE DU CFA IGS;Terminale;Etudiants (réorientation, mise à niveau);M;Paris
0;;ANTENNE DU CFA IGS;Terminale;Lycéens de Terminale;M;Paris
3;2;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);F;Versailles
3;3;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Non scolarisés;M;Versailles
1;;Artémisia Formation;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;ASCENCIA Business School;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
2;2;ASCENCIA Business School;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;1;ASCENCIA Business School;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
2;2;ASCENCIA Business School - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
3;2;ASCENCIA Business School - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;ASCENCIA Business School - Evry;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
18;10;Ascencia Business School - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
2;;Ascencia Business School - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;Ascencia Business School - Paris-la-Défense;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
0;;Ascencia Business School - Paris-la-Défense;Formations des écoles de commerce et de management;Non scolarisés;M;Versailles
1;1;ASCENCIA Business School- Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ASCENCIA Business School- Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;ASCENCIA Business School- Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Non scolarisés;M;Versailles
3;1;ASFORED-EDINOVO;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;ASFORED-EDINOVO;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Assas Formations Santé;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;ASSO FORMAT BIOCHIM BIOL ECOLE;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);F;Paris
1;;ASSO FORMAT BIOCHIM BIOL ECOLE;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);M;Paris
1;1;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Créteil
